_id,record_id,census_date,gender,race,age_at_booking,age_at_census
49,392,2015-01-01,M,W,24.0,24.0
50,400,2015-01-01,M,B,51.0,51.0
51,408,2015-01-01,M,B,23.0,23.0
52,416,2015-01-01,F,W,22.0,22.0
53,424,2015-01-01,M,W,31.0,31.0
54,432,2015-01-01,M,B,50.0,50.0
55,440,2015-01-01,M,W,23.0,23.0
56,448,2015-01-01,M,W,48.0,48.0
57,456,2015-01-01,M,W,51.0,51.0
58,464,2015-01-01,M,B,58.0,58.0
59,472,2015-01-01,M,B,31.0,32.0
60,480,2015-01-01,M,B,40.0,40.0
61,488,2015-01-01,F,W,33.0,33.0
62,496,2015-01-01,M,W,47.0,47.0
63,504,2015-01-01,M,B,20.0,20.0
64,512,2015-01-01,M,B,17.0,17.0
65,520,2015-01-01,M,B,30.0,30.0
66,528,2015-01-01,M,B,28.0,28.0
67,536,2015-01-01,M,W,45.0,45.0
68,544,2015-01-01,M,B,55.0,55.0
69,552,2015-01-01,M,B,28.0,28.0
70,560,2015-01-01,M,W,49.0,49.0
71,568,2015-01-01,M,W,26.0,26.0
72,576,2015-01-01,M,W,36.0,36.0
73,584,2015-01-01,M,A,22.0,22.0
74,592,2015-01-01,M,W,37.0,37.0
75,600,2015-01-01,M,B,27.0,27.0
76,608,2015-01-01,M,W,30.0,30.0
77,616,2015-01-01,F,W,23.0,24.0
78,624,2015-01-01,M,B,31.0,31.0
79,632,2015-01-01,M,W,38.0,38.0
80,640,2015-01-01,M,W,21.0,21.0
81,648,2015-01-01,M,W,24.0,24.0
82,656,2015-01-01,M,B,37.0,37.0
83,664,2015-01-01,M,U,41.0,41.0
84,672,2015-01-01,M,B,48.0,48.0
85,680,2015-01-01,F,B,23.0,23.0
86,688,2015-01-01,M,W,38.0,38.0
87,696,2015-01-01,M,W,37.0,38.0
88,704,2015-01-01,M,W,25.0,25.0
89,712,2015-01-01,M,W,34.0,34.0
90,720,2015-01-01,M,B,32.0,33.0
91,728,2015-01-01,F,W,31.0,31.0
92,736,2015-01-01,M,B,21.0,22.0
93,744,2015-01-01,M,B,24.0,24.0
94,752,2015-01-01,M,B,43.0,44.0
95,760,2015-01-01,M,B,24.0,25.0
96,768,2015-01-01,M,B,24.0,24.0
97,776,2015-01-01,M,B,33.0,33.0
98,784,2015-01-01,M,B,25.0,25.0
99,792,2015-01-01,M,B,22.0,22.0
100,800,2015-01-01,M,B,25.0,25.0
101,808,2015-01-01,M,B,24.0,24.0
102,816,2015-01-01,M,B,22.0,22.0
103,824,2015-01-01,M,B,49.0,50.0
104,832,2015-01-01,M,B,25.0,26.0
105,840,2015-01-01,M,B,24.0,24.0
106,848,2015-01-01,M,W,32.0,32.0
107,856,2015-01-01,M,W,26.0,26.0
108,864,2015-01-01,M,B,44.0,44.0
109,872,2015-01-01,M,W,19.0,19.0
110,880,2015-01-01,M,W,36.0,37.0
111,888,2015-01-01,M,B,24.0,24.0
112,896,2015-01-01,M,B,22.0,22.0
113,904,2015-01-01,M,W,31.0,32.0
114,912,2015-01-01,M,B,27.0,27.0
115,920,2015-01-01,M,B,52.0,52.0
116,928,2015-01-01,M,B,33.0,33.0
117,936,2015-01-01,M,B,41.0,41.0
118,944,2015-01-01,M,W,21.0,22.0
119,952,2015-01-01,M,B,33.0,33.0
120,960,2015-01-01,M,B,23.0,23.0
121,968,2015-01-01,M,W,32.0,32.0
122,976,2015-01-01,M,B,42.0,42.0
123,984,2015-01-01,M,W,29.0,29.0
124,992,2015-01-01,M,B,22.0,23.0
125,1000,2015-01-01,M,B,16.0,17.0
126,1008,2015-01-01,M,W,22.0,22.0
127,1016,2015-01-01,M,W,40.0,41.0
128,1024,2015-01-01,M,W,35.0,35.0
129,1032,2015-01-01,M,W,32.0,32.0
130,1040,2015-01-01,M,B,34.0,35.0
131,1048,2015-01-01,M,B,49.0,49.0
132,1056,2015-01-01,M,W,22.0,23.0
133,1064,2015-01-01,M,W,28.0,28.0
134,1072,2015-01-01,M,W,33.0,33.0
135,1080,2015-01-01,M,B,20.0,20.0
136,1088,2015-01-01,F,W,24.0,24.0
137,1096,2015-01-01,M,B,44.0,45.0
138,1104,2015-01-01,M,B,31.0,31.0
139,1112,2015-01-01,M,B,50.0,50.0
140,1120,2015-01-01,M,B,21.0,22.0
141,1128,2015-01-01,M,W,35.0,36.0
142,1136,2015-01-01,M,B,19.0,19.0
143,1144,2015-01-01,M,U,25.0,25.0
144,1152,2015-01-01,M,W,25.0,26.0
145,1160,2015-01-01,F,W,31.0,31.0
146,1168,2015-01-01,M,B,30.0,30.0
147,1176,2015-01-01,M,B,24.0,24.0
148,1184,2015-01-01,M,B,27.0,27.0
149,1192,2015-01-01,M,W,30.0,30.0
150,1200,2015-01-01,M,B,24.0,24.0
151,1208,2015-01-01,F,W,29.0,29.0
152,1216,2015-01-01,M,B,28.0,28.0
153,1224,2015-01-01,M,W,26.0,26.0
154,1232,2015-01-01,M,B,22.0,23.0
155,1240,2015-01-01,M,W,43.0,43.0
156,1248,2015-01-01,M,B,22.0,22.0
157,1256,2015-01-01,M,W,51.0,51.0
158,1264,2015-01-01,M,W,49.0,49.0
159,1272,2015-01-01,M,B,19.0,20.0
160,1280,2015-01-01,M,W,48.0,48.0
161,1288,2015-01-01,M,B,21.0,21.0
162,1296,2015-01-01,F,B,40.0,40.0
163,1304,2015-01-01,M,B,56.0,57.0
164,1312,2015-01-01,M,B,40.0,40.0
165,1320,2015-01-01,M,B,48.0,48.0
166,1328,2015-01-01,F,B,39.0,40.0
167,1336,2015-01-01,M,B,55.0,56.0
168,1344,2015-01-01,M,W,31.0,31.0
169,1352,2015-01-01,M,B,35.0,35.0
170,1360,2015-01-01,M,W,24.0,25.0
171,1368,2015-01-01,M,B,36.0,37.0
172,1376,2015-01-01,M,W,36.0,36.0
173,1384,2015-01-01,M,B,33.0,33.0
174,1392,2015-01-01,M,W,29.0,29.0
175,1400,2015-01-01,M,B,27.0,27.0
176,1408,2015-01-01,M,B,41.0,42.0
177,1416,2015-01-01,M,W,52.0,52.0
178,1424,2015-01-01,M,W,28.0,28.0
179,1432,2015-01-01,M,W,33.0,33.0
180,1440,2015-01-01,M,W,50.0,50.0
181,1448,2015-01-01,M,W,24.0,24.0
182,1456,2015-01-01,M,B,22.0,22.0
183,1464,2015-01-01,M,W,21.0,22.0
184,1472,2015-01-01,F,W,46.0,47.0
185,1480,2015-01-01,M,B,57.0,57.0
186,1488,2015-01-01,M,B,28.0,29.0
187,1496,2015-01-01,M,W,43.0,44.0
188,1504,2015-01-01,M,B,55.0,55.0
189,1512,2015-01-01,M,B,26.0,26.0
190,1520,2015-01-01,M,B,20.0,21.0
191,1528,2015-01-01,M,B,41.0,42.0
192,1536,2015-01-01,M,W,36.0,37.0
193,1544,2015-01-01,M,B,22.0,22.0
194,1552,2015-01-01,M,B,23.0,24.0
195,1560,2015-01-01,M,B,26.0,27.0
196,1568,2015-01-01,M,B,34.0,34.0
197,1576,2015-01-01,M,B,25.0,25.0
198,1584,2015-01-01,M,B,24.0,25.0
199,1592,2015-01-01,M,B,23.0,24.0
200,1600,2015-01-01,M,B,20.0,20.0
201,1608,2015-01-01,M,B,27.0,28.0
202,1616,2015-01-01,M,W,55.0,56.0
203,1624,2015-01-01,M,B,19.0,19.0
204,1632,2015-01-01,M,B,33.0,33.0
205,1640,2015-01-01,M,B,58.0,59.0
206,1648,2015-01-01,M,W,32.0,33.0
207,1656,2015-01-01,M,B,24.0,25.0
208,1664,2015-01-01,M,B,20.0,20.0
209,1672,2015-01-01,M,B,31.0,31.0
210,1680,2015-01-01,F,B,49.0,50.0
211,1688,2015-01-01,M,B,24.0,24.0
212,1696,2015-01-01,M,W,22.0,23.0
213,1704,2015-01-01,M,W,35.0,36.0
214,1712,2015-01-01,M,B,55.0,55.0
215,1720,2015-01-01,M,W,24.0,24.0
216,1728,2015-01-01,M,B,25.0,26.0
217,1736,2015-01-01,M,B,30.0,31.0
218,1744,2015-01-01,M,B,42.0,42.0
219,1752,2015-01-01,M,U,27.0,27.0
220,1760,2015-01-01,M,B,20.0,21.0
221,1768,2015-01-01,M,W,42.0,43.0
222,1776,2015-01-01,F,W,41.0,41.0
223,1784,2015-01-01,M,B,60.0,61.0
224,1792,2015-01-01,M,W,50.0,50.0
225,1800,2015-01-01,M,B,49.0,50.0
226,1808,2015-01-01,M,B,25.0,26.0
227,1816,2015-01-01,M,W,21.0,21.0
228,1824,2015-01-01,M,B,22.0,23.0
229,1832,2015-01-01,M,W,32.0,33.0
230,1840,2015-01-01,M,W,25.0,26.0
231,1848,2015-01-01,M,W,28.0,29.0
232,1856,2015-01-01,M,B,25.0,26.0
233,1864,2015-01-01,M,B,24.0,25.0
234,1872,2015-01-01,M,B,33.0,33.0
235,1880,2015-01-01,M,B,42.0,43.0
236,1888,2015-01-01,F,B,45.0,46.0
237,1896,2015-01-01,M,B,22.0,22.0
238,1904,2015-01-01,M,B,23.0,24.0
239,1912,2015-01-01,M,B,29.0,30.0
240,1920,2015-01-01,M,A,19.0,20.0
241,1928,2015-01-01,M,B,20.0,21.0
242,1936,2015-01-01,M,B,44.0,45.0
243,1944,2015-01-01,M,B,32.0,33.0
244,1952,2015-01-01,M,B,23.0,24.0
245,1960,2015-01-01,M,W,36.0,36.0
246,1968,2015-01-01,F,B,41.0,42.0
247,1976,2015-01-01,M,B,35.0,36.0
248,1984,2015-01-01,M,B,21.0,21.0
249,1992,2015-01-01,M,B,20.0,21.0
250,2000,2015-01-01,M,W,42.0,43.0
251,2008,2015-01-01,F,W,27.0,28.0
252,2016,2015-01-01,M,B,25.0,26.0
253,2024,2015-01-01,M,B,27.0,28.0
254,2032,2015-01-01,M,U,25.0,26.0
255,2040,2015-01-01,M,B,21.0,22.0
256,2048,2015-01-01,M,B,19.0,20.0
257,2056,2015-01-01,M,W,31.0,32.0
258,2064,2015-01-01,M,B,48.0,49.0
259,2072,2015-01-01,M,W,24.0,25.0
260,2080,2015-01-01,M,B,32.0,33.0
261,2088,2015-01-01,M,B,43.0,44.0
262,2096,2015-01-01,M,W,25.0,26.0
263,2104,2015-01-01,M,B,29.0,30.0
264,2112,2015-01-01,M,B,19.0,20.0
265,2120,2015-01-01,M,B,23.0,24.0
266,2128,2015-01-01,M,B,16.0,18.0
267,2136,2015-01-01,M,B,20.0,21.0
268,2144,20,,,,
